,text,hour,date,minute,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_pos,sentiment_type
1340,No wonder #Modiji gets stronger by the day with this quality of #Opposition. https://t.co/CxJbh6ikKU,2,12/9/2016,8,0.1027,0.714,0.131,0.155,POSITIVE
1341,@iMac_too Would differ definitely 5 setter but might go Wimbledon marathon tie breaker way in the cat n mouse game… https://t.co/HZhXiSHDyR,2,12/9/2016,8,0.2144,0.907,0,0.093,POSITIVE
1342,"malik khan: #business #news To protect public from price rise, Narendra Modi govt abolishes wheat… … https://t.co/axynOuSq9C",2,12/9/2016,8,0.3818,0.86,0,0.14,POSITIVE
1343,"A result of #Fukushima #nuclear disaster
https://t.co/vCy9MsXs1N
@PMOIndia #Modi @TwitterIndia #india #BBCNews",2,12/9/2016,8,-0.6249,0.709,0.291,0,NEGATIVE
1344,Pay To Modi' is trending on Twitter because Rahul Gandhi made this hilarious statement... https://t.co/xgZ1uiXmgG,2,12/9/2016,8,0.4069,0.742,0.08,0.178,POSITIVE
1345,"RT @naveenbebra: Modi made minsters like Nihal, Smriti, Prakash javdekar,Jaitley,Sadanand,UmaB, Nadda etc. what you expect from the govt.?…",2,12/9/2016,9,0.3612,0.872,0,0.128,POSITIVE
1346,"RT @cirol777: 今日は渋谷modiでマインクラフトXmasツリー点灯式でした🎄✨

フジモントナカイと谷花音ちゃんと千秋サンタ🎅🏻

マインクラフトハマるーーー👾🤖 https://t.co/lgbj8VSbgm",2,12/9/2016,9,0,1,0,0,NEUTRAL
1347,@mamatabanarjee if modi has no right to continue than you have no right to be CM. Economic disaster is for you not for us. #getlost,2,12/9/2016,9,-0.8176,0.721,0.279,0,NEGATIVE
1348,RT @AAPGoa: Dalit author slams PM Modi for Demonetisation !   https://t.co/ImKYq0zRNh,2,12/9/2016,9,0,1,0,0,NEUTRAL
1349,"RT @naveenbebra: Defence Minister has been given the job for Goa election, this cant be stopped. Modi is a complete failure.",2,12/9/2016,9,-0.3036,0.728,0.141,0.131,NEGATIVE
1350,@narendramodi good morning modi saheb,2,12/9/2016,9,0.4404,0.58,0,0.42,POSITIVE
1351,"Modi Virus spreading ..

- https://t.co/b64ciRgSkS",2,12/9/2016,9,0,1,0,0,NEUTRAL
1352,Free Download So Sorry  - Aaj Tak - So Sorry: Modi caught between Godzilla and law @FUNLOFT.IN से,2,12/9/2016,9,0.2764,0.667,0.164,0.169,POSITIVE
1353,"@DocVatsa AISSE KI APRADHIYON KO GHARDABOICHNE KE LIYE MODI NE LAAYA HAI DEMONETIZATION.
https://t.co/xIgJwYfXIJ",2,12/9/2016,9,0,1,0,0,NEUTRAL
1354,"RT @heisenjit: Modi is 
*backspace*
Modi 
*backspace*
Government ..
*backspace*
Modi is a 
*backspace*

kejriwal since last 3 hours",2,12/9/2016,9,0,1,0,0,NEUTRAL
1355,"Line I’ve made you stand in is last line, to end all lines: PM Modi at Moradabad
https://t.co/q5PdUoINC1 https://t.co/M9DvR1L6Hf",2,12/9/2016,9,0,1,0,0,NEUTRAL
1356,Five notes Modi should introduce on the monthversary of demonetisation https://t.co/0DVDxo2Dea via @CatchNews,2,12/9/2016,9,0,1,0,0,NEUTRAL
1357,"RT @Virendrsehwag: Ever since  #IndiaDefeatsBlackMoney started trending on Twitter , Rahul Gandhi is busy google-ing the country named ""bla…",2,12/9/2016,9,0,1,0,0,NEUTRAL
1358,Serial killer of women in S. Delhi. Given Modi's misogynistic tendencies we believe the prime suspect is Modi.,2,12/9/2016,9,-0.7579,0.711,0.289,0,NEGATIVE
1359,"मोदी ने किया नोटबंदी का बचाव, विपक्ष गुस्से में - https://t.co/J6JKb5XF4e https://t.co/tZuaVkRlpz",2,12/9/2016,9,0,1,0,0,NEUTRAL
1360,RT @bmehta312: Be a part of #TransformingIndia - Switch from 'Cash' to 'Less Cash' Society! #GoIInformation #IndiaDefeatsBlackMoney https:/…,2,12/9/2016,9,0,1,0,0,NEUTRAL
1361,@ashokepandit Dumbest tweet ! Stop exhibiting your Low IQ ! ₹1.28 Lacs Crores wasted in name of BlackMoney ! Shame modi @thenewsminute,2,12/9/2016,9,-0.9297,0.487,0.513,0,NEGATIVE
1362,WATCH: This Pakistani 'anchor' warning PM Narendra Modi will leave you in splits... https://t.co/68Ox3DnEbw,2,12/9/2016,9,-0.3818,0.769,0.231,0,NEGATIVE
1363,"Will find way to give black money in Jan Dhan accounts to poor, says PM Modi
https://t.co/uLzyY8IEM6 https://t.co/tv5m6qz4Y7",2,12/9/2016,9,-0.4767,0.846,0.154,0,NEGATIVE
1364,RT @arjundahiya: #IndiaDefeatsBlackMoney गुजरात में कौन सी पार्टी राज कर रही है पिछले 15 साल से किस पार्टी के नेता के पास 6000 का का…,2,12/9/2016,9,0,1,0,0,NEUTRAL
1365,@abdullah_omar none of these will actually be achieved https://t.co/wCZ731V095,2,12/9/2016,10,0,1,0,0,NEUTRAL
1366,RT @nutanc: #LetsStartWithThePoliticians https://t.co/iBuec9Qmxr,2,12/9/2016,10,0,1,0,0,NEUTRAL
1367,"RT @AAOLion: #Demonitization :Fake Currency King Khanani commits suicide in Karachi
नोटबंदीकी गुंझ सुनी?
https://t.co/qCjfCQJPLd via @The R…",2,12/9/2016,10,-0.8176,0.633,0.321,0.046,NEGATIVE
1368,RT @indybad: PM Modi's opponents cannot fight or defeat him politically..because he is not propagating party politics but his own personal…,2,12/9/2016,10,0.1786,0.784,0.071,0.145,POSITIVE
1369,"Great Interview keep it up,pl look at IT statement on Jandhan &amp; PM speech https://t.co/3VINVpamrs",2,12/9/2016,10,0.6249,0.773,0,0.227,POSITIVE
1370,infrastructure ready for Cashless transactions.I request all Let's educate 10 people how to use digital payment . #IndiaDefeatsBlackMoney,2,12/9/2016,10,0.3612,0.865,0,0.135,POSITIVE
1371,#IndiaDefeatsBlackMoney पर जगह जगह लाखो करोड़ो नये नोट पकडे जा रहे है वो कंहा से आ रहे है ।,2,12/9/2016,10,0,1,0,0,NEUTRAL
1372,"मोदी सरकार की बंपर छूट पॉलिसी, यहां पढ़ें किसको कितना फायदा?
https://t.co/E9qjvWmL0D https://t.co/R7XZULy4L0",2,12/9/2016,10,0,1,0,0,NEUTRAL
1373,That can be scary!! https://t.co/B5PjPWOhzF,2,12/9/2016,10,-0.5837,0.514,0.486,0,NEGATIVE
1374,@ArvindKejrewall n.modi ji,2,12/9/2016,10,0,1,0,0,NEUTRAL
1375,"@GOURISHKHAPALI Congress had Robert wadera, and multiple scams, do u really feel they would have ever thought to touch modi.. No never",2,12/9/2016,10,-0.7184,0.76,0.24,0,NEGATIVE
1376,RT @nooresafa: Modi Sarkar..Murdabad..slogans. Watch how there are no political flags. The 'aam janta' is expressing their anger  https://t…,2,12/9/2016,10,-0.7096,0.742,0.258,0,NEGATIVE
1377,"Heart of Asia: PM Modi meets Afghan president, serves langar at Golden Temple
https://t.co/CODr4zN7gi https://t.co/4GXLRjC9go",2,12/9/2016,10,0,1,0,0,NEUTRAL
1378,नरेंद्र मोदी एक बार फिर ‘टाइम पर्सन ऑफ द इयर’ बनने से कैसे चूक गये? https://t.co/YZQzRYM31Y https://t.co/c1VkNmzhbY,2,12/9/2016,10,0,1,0,0,NEUTRAL
1379,"बीजेपी ने निकाली नरेंद्र मोदी की ‘लकी कुर्सी’, 2014 जैसी जीत को दोहराने की हो रही तैयारी

https://t.co/DE1AvJuNgX",2,12/9/2016,10,0,1,0,0,NEUTRAL
1380,"RT @sanjayuvacha: Kisan Virodhi - Narendra Modi
https://t.co/9MFgG5rcWK",2,12/9/2016,10,0,1,0,0,NEUTRAL
1381,😂😂😂 https://t.co/VGiWg3j5EZ,2,12/9/2016,10,0,1,0,0,NEUTRAL
1382,"@ndtv If it took 65plus years for congress to learn Indus, how Mr Ghulamji expects Mr Modi to understand in 2 years… https://t.co/11xp5IZMe8",2,12/9/2016,10,0,1,0,0,NEUTRAL
1383,"RT @tech_sky12: First thing in my mind after watching these long lines outside banks, 😍""kaala dhan"" 😍 #IndiaFightsCorruption… ",2,12/9/2016,10,0,1,0,0,NEUTRAL
1384,"PM Modi salutes the spirit of Divyang
https://t.co/y9f5QHsqpZ https://t.co/56uBAfNXXb",2,12/9/2016,10,0.1779,0.825,0,0.175,POSITIVE
1385,December fool banaaya  #IndiaDefeatsBlackMoney,2,12/9/2016,10,-0.4404,0.508,0.492,0,NEGATIVE
1386,"RT @TharoorianKhan: Indian Economy Crashes As Modi's ""Black Money"" Theory Collapses | Zero Hedge https://t.co/5Jla5SJ2e7",2,12/9/2016,10,-0.296,0.855,0.145,0,NEGATIVE
1387,"oh boy, this guy suffers 4m acute inferiority complex. Read his bio- videshi by looks, desi at heart. What utter co… https://t.co/6fqyKgpWxw",,12/9/2016,10,-0.6369,0.794,0.206,0,NEGATIVE
1388,Objective of demonetisation has been amended from Black money to digital transactions.. https://t.co/Qwp9jXqBOQ,2,12/9/2016,10,0,1,0,0,NEUTRAL
1389,@atanubhuyan Don't worry .Modi ji is ready.,2,12/9/2016,10,0.6002,0.505,0,0.495,POSITIVE
1390,RT @kauserseema: This is what is going to happen everywhere.U can't fool all d ppl all d time.Nothing has changed after…,2,12/9/2016,11,0.3412,0.882,0,0.118,POSITIVE
1391,Gautami writes to Modi seeking answers for Jayalalithaa's death https://t.co/GGeHTIX4F3,2,12/9/2016,11,-0.5994,0.698,0.302,0,NEGATIVE
1392,"Foolish move, PM Modi running from one narrative to another: Rahul Gandhi https://t.co/gvDb8Q3sRk via @IndianExpress",2,12/9/2016,11,-0.2732,0.87,0.13,0,NEGATIVE
1393,सत्तेतील सन्मानासाठी शिवसेनेची धडपड! https://t.co/4q209a1One,2,12/9/2016,11,0,1,0,0,NEUTRAL
1394,RT @jithendrash: Found this kid near Modi hospital Bangalore.Plz help to find parents.@HMLokesh @WeAreBangalore Plz RT https://t.co/84sA2Nx…,2,12/9/2016,11,0.4588,0.789,0,0.211,POSITIVE
1395,"RT @vik21_yadav: झाड़ू आम आदमी के पास है, हाथ कांग्रेस के पास है और सफाई नरेन्द्रमोदी जी कर रहे हैं..
____गजब संयोग #IndiaDefeatsBlackMoney",2,12/9/2016,11,0,1,0,0,NEUTRAL
1396,RT @NoUllooBanoing: #IndiaDefeatsBlackMoney #ModiMoneyLaundry The mystery behind the Rs 3-lakh crore deposits in 15 days https://t.co/HimJ3…,2,12/9/2016,11,0,1,0,0,NEUTRAL
1397,"RT @letspesalam: 1% rich owns 60% wealth of India's wealth.
Those 1% are not being affected by Demonetisation.
But, believe #IndiaDefeatsBl…",2,12/9/2016,11,0.8871,0.598,0,0.402,POSITIVE
1398,RT @GVLNRAO: Modi is now seen as Messiah of the poor and honest: BJP's GVL Narasimha Rao https://t.co/POj2AE509N,2,12/9/2016,11,0.0516,0.714,0.138,0.147,POSITIVE
1399,RT @CongressInNews: PayTM is nothing but Pay To Modi. The companies are going to charge on every transaction and thus it is for their b…,2,12/9/2016,11,0.1139,0.943,0,0.057,POSITIVE
1400,@ManiShankarIyer Prime Minister Narendra Modi's reference to trouble in Balochistan.,2,12/9/2016,11,-0.4019,0.769,0.231,0,NEGATIVE
1401,Naye not aam jan tak nahi kale dhan walon ki tizorion men pahuch gaye ab ramdev baba modi jaitly kya kahenge. Chashlesh ya digital,2,12/9/2016,11,0,1,0,0,NEUTRAL
1402,"RT @Madan_Chikna: Modi : Sab exchange karliya?

Mukesh Ambani : Haan, lekin Anant ki purani jeans se ek 500 ka note nikla :(

Modi: R… ",2,12/9/2016,11,-0.4404,0.884,0.116,0,NEGATIVE
1403,RT @NaIna0806: ROFL.U know d Govt is doing good when Congi stooges r raising queries abt PM clothes instead of Scams &amp; Corruption…,2,12/9/2016,11,-0.2263,0.739,0.148,0.113,NEGATIVE
1404,"Changing goal post, threatening public and projecting anti national for asking own money back not good sign https://t.co/0KAVIMqt7n",2,12/9/2016,11,-0.7967,0.649,0.351,0,NEGATIVE
1405,"RT @Neyandar: #IndiaDefeatsBlackMoney.
Yup we can save 75 paise for filling 100 rupees petrol https://t.co/q7Ple11rBk",2,12/9/2016,11,0.4939,0.814,0,0.186,POSITIVE
1406,"Retweeted GVL Narasimha Rao (@GVLNRAO):

Modi is now seen as Messiah of the poor and honest: BJP's GVL Narasimha... https://t.co/GZXjCiyVSg",2,12/9/2016,11,0.0516,0.738,0.127,0.135,POSITIVE
1407,@_MiteshPatel @narendramodi all the proofs disappeared as soon as he came to power. Now his only job is chant modi modi. Have some shame ppl,2,12/9/2016,11,-0.6124,0.821,0.179,0,NEGATIVE
1408,#IndiaDefeatsBlackMoney https://t.co/IXoAtLvDTi,2,12/9/2016,11,0,1,0,0,NEUTRAL
1409,Modi ji Mai aapke saath hoo kyonke hamara desh aage bad raha hai or badal bhi raha hai https://t.co/gkn622q74q,2,12/9/2016,11,-0.5423,0.837,0.163,0,NEGATIVE
1410,"RT @shubh88888: I want my nation to be modified
as secure , as prosperous &amp; independent nation
jay ho @narendramodi  #IndiaDefeatsBlackMone…",2,12/9/2016,11,0.7003,0.702,0,0.298,POSITIVE
1411,True OMG https://t.co/shmWqW6Ul3,2,12/9/2016,11,0.4215,0.417,0,0.583,POSITIVE
1412,"""#BlackMoney #India Ltd is the first #IPO  in world history 

where Issuer is praying for undersubscription"".: 

Gloomberg News",2,12/9/2016,11,0.3612,0.872,0,0.128,POSITIVE
1413,Who knew? Modi's black money move kept a closely guarded secret https://t.co/fHBsKRnx8k,2,12/9/2016,11,0,1,0,0,NEUTRAL
1414,"RT @sarvmanglamcom: भक्तों के राजा की कहानी 
#IndiaDefeatsBlackMoney #राष्ट्रविरोधी_विपक्ष #FiftyShadesDarker #AdvaniSlapsModi… ",2,12/9/2016,11,0,1,0,0,NEUTRAL
1415,Here’s Why They Claim Demonetization To be The Biggest Scam https://t.co/EpAvWbQdBF https://t.co/tsMuQq9QGk,2,12/9/2016,11,0,1,0,0,NEUTRAL
1416,@ArvindKejriwal @brumbyOz if some Innova owning lalaji also pays 20% income tax then am ready to support him against modi/ambani,2,12/9/2016,11,0.6369,0.776,0,0.224,POSITIVE
1417,"Changing the narrative to going online doesn't maek #IndiaDefeatsBlackMoney . Gadkari, @arunjaitley, Gali, Mallya are having their fun.",2,12/9/2016,11,0.5106,0.829,0,0.171,POSITIVE
1418,@narendramodi @AmitShah @PiyushGoyal @DrMohanBhagwat pl declare bjp cashless imdly.opposition will hv no answer.ppl will love modi more.,2,12/9/2016,12,0.4588,0.701,0.103,0.196,POSITIVE
1419,RatanSharda55: RT atulsyan: BJP4India govt. changing goal post... #blackmoney to #digitalindia to #cashless econom… https://t.co/0oKwI56lYR,2,12/9/2016,12,0,1,0,0,NEUTRAL
1420,"RT @PuratchiPadai: சத்தியமா பயங்கர சத்தமா சிரிச்சுட்டேன்,நீ கவுண்டமணியவே மிஞ்சிட்ட!
Lol 😂😂 https://t.co/l6YNl9P26e",2,12/9/2016,12,0.4753,0.764,0,0.236,POSITIVE
1421,Salute Indians for being part of this yagna: PM Modi on demonetisation https://t.co/3CEi7YyxP5 via @timesofindia,2,12/9/2016,12,0,1,0,0,NEUTRAL
1422,Salute Indians for being part of this yagna: PM Modi on demonetisation https://t.co/3HyP4QdFUp via @timesofindia,2,12/9/2016,12,0,1,0,0,NEUTRAL
1423,"RT @IncNaushad: World's Costliest promotion award must go to BJP govt:
Successfully promoted #Paytm with taking nearly 100 indian's life.
""…",2,12/9/2016,12,0.8591,0.655,0,0.345,POSITIVE
1424,"RT @MrTippler: There are only two people in India who are always right:
1. Narendra Modi
2. Your wife",2,12/9/2016,12,0,1,0,0,NEUTRAL
1425,RT @myvotetoday: देश की जनता को 16 गैर-कांग्रेसी नेताओं मे 4 चुनने का मौका मिला और उन्होंने कुछ इस तरह👇वोट दिए. अब आप फाइनल 4 से…,2,12/9/2016,12,0,1,0,0,NEUTRAL
1426,"#IndiaDefeatsBlackMoney Let us say if your paying your GIC premium of Rs 20000 through Credit Card or Debit Card , you save Rs 2000, Great.",2,12/9/2016,12,0.872,0.68,0,0.32,POSITIVE
1427,"To protect public from price rise, Narendra Modi govt abolishes wheat import duty.. https://t.co/oDKXceGlIr",2,12/9/2016,12,0.3818,0.833,0,0.167,POSITIVE
1428,"RT @Archu243: ➡️Indian economy 2 stabilise
➡️Terror Funding takes a hit
➡️Hawala operations take a blow
➡️Fake currency eliminate… ",2,12/9/2016,12,0,1,0,0,NEUTRAL
1429,"RT @Archu243: ➡️Lower EMI
➡️Affordable loans
➡️Credit to small entrepreneurs
➡️Growth of organized sector. #IndiaDefeatsBlackMoney",2,12/9/2016,12,0,1,0,0,NEUTRAL
1430,RT @ShubhamKumarVa2: @narendramodi dekh lo soniya ji isko kahte hai sanskar modi is great,2,12/9/2016,12,0.6249,0.76,0,0.24,POSITIVE
1431,"RT @_kapil__: Jai Viru in College

Pic.1 Shah:Bro tel me thos 3 magical words
Pic.2 modi:Lgwa Di Attendance
Pic.3 shah:Bhai bhai 😘 https://…",2,12/9/2016,12,0,1,0,0,NEUTRAL
1432,@RBI @narendramodi @arunjaitley @PMOIndia Sir strong action need to take against #AxisBank who is helping #BlackMoney holders #FraudsinAxis.,2,12/9/2016,12,0.6705,0.744,0,0.256,POSITIVE
1433,What type of poll was that the Media did.18% Modi &amp; 7% Trump &amp; Trump was on Times.Was it to make the Bhakts &amp; the Master happy or a stunt,2,12/9/2016,13,0.5719,0.883,0,0.117,POSITIVE
1434,Narendra Modi’s demonetisation masterstroke: Check out Sudarsan Pattnaik’s artistic appeal to citizens… https://t.co/NUXmWe9ahw,2,12/9/2016,13,0,1,0,0,NEUTRAL
1435,"RBI ke rules aur modi ke dress me competition chal Riya hai....😉

Kon kitna fast change kar sakta hai😅",2,12/9/2016,13,0,1,0,0,NEUTRAL
1436,"Prime Minister Modi said, 
*Go Cashless*......
.
.
.
.
.
.
.
.
*Only ATM's have taken it seriously.*
😁😀😬😇",2,12/9/2016,13,0,1,0,0,NEUTRAL
1437,"@omthanvi @ArvindKejriwal ""Bhaisaab, cm bnna hai ya pm ""
""Neither""
""Fir kutte jaise bhok ku rhe ho""
""Main modi modi karna chahta ho""",2,12/9/2016,13,0,1,0,0,NEUTRAL
1438,"RT @PrasadAol: #IndiaDefeatsBlackMoney

Thank YOU @narendramodi (@PMOIndia ) to make me feel proud of our PM for this bold move.",2,12/9/2016,13,0.8225,0.65,0,0.35,POSITIVE
1439,RT @KeshavTangri57: @narendramodi indirectly modi asking hows your 1 month ended 8/11 to 8/12...,2,12/9/2016,13,0,1,0,0,NEUTRAL
1440,"RT @AyyappanRamasam: Modi's tweet was tweeted 30 minute before Apollo Hospitals' announcement
How?
Any secret things? https://t.co/cQg3nyke…",2,12/9/2016,13,0,1,0,0,NEUTRAL
1441,"RT @AAamindayer: #अगर_कांग्रेस_ना_होती then India being a poor &amp; backward country, Narendra Modi &amp; his entire Bhakts would have been workin…",2,12/9/2016,13,-0.4767,0.86,0.14,0,NEGATIVE
1442,The rise and fall of Emperor Modi https://t.co/W9TUwAm4eq,2,12/9/2016,13,0,1,0,0,NEUTRAL
1443,Economists world over say that the whole drive is like shooting your own leg! And Bhakts say #IndiaDefeatsBlackMoney lol such an illusion!,2,12/9/2016,13,0.7081,0.773,0,0.227,POSITIVE
1444,RT @ANI_news: #WATCH: PM Modi pays his last respects to #Jayalalithaa at Rajaji Hall in Chennai. https://t.co/Wass8nxUpv,2,12/9/2016,13,0.3182,0.874,0,0.126,POSITIVE
1445,"RT @NH_India: Congress VP Rahul Gandhi: “There is this concept of PayTM. Pay to Modi, that’s the idea behind #CashlessEconomy"" https://t.co…",2,12/9/2016,13,-0.1027,0.935,0.065,0,NEGATIVE
1446,@ms_rana ur asking pro poor and pro farmer approach from Modi Govt?? Really? It's like asking hyaena to eat grass...,2,12/9/2016,14,-0.2172,0.737,0.149,0.114,NEGATIVE
1447,"RT @naveenbebra: When we vote for Jumlanandan and pay Swatch Bharat Cess, it's only Modi Gobernance  https://t.co/n2nKsCfi9T",2,12/9/2016,14,-0.1027,0.92,0.08,0,NEGATIVE
1448,#IndiaDefeatsBlackMoney #nauty sex downloadable porn for free https://t.co/X6rISlWfa0,2,12/9/2016,14,0.5106,0.68,0,0.32,POSITIVE
1449,"#अगर_कांग्रेस_ना_होती
Progress_होती 

#IndiaDefeatsBlackMoney #tripletalaq #KhatmalEShayar #PaniBachaoPunjabBachao",2,12/9/2016,14,0,1,0,0,NEUTRAL
1450,Salute Indians for being part of this yagna: PM Modi https://t.co/ZJvC6s54i7,2,12/9/2016,14,0,1,0,0,NEUTRAL
1451,A hood Campaign Definitely Needed in Village Areas. https://t.co/uIVWO6tTDR,2,12/9/2016,14,0.4019,0.722,0,0.278,POSITIVE
1452,RT @kunalmajumder: Arnab Goswami blames Manmohan Singh and not PM Modi for Uri attacks | @RifatJawaid writes  https://t.co/d7y7iz80hp,2,12/9/2016,14,-0.6808,0.728,0.272,0,NEGATIVE
1453,"RT @kvQuote: #IndiaDefeatsBlackMoney
विमुद्रीकरण से फर्जीवाल जैसे राजनेताओ की पोल खुल गयी....
@ArvindKejriwal 
cc @TrollKejri https://t.co/…",2,12/9/2016,14,0,1,0,0,NEUTRAL
1454,Abandon all hope. https://t.co/w5xgqc46fA,2,12/9/2016,14,0,0.256,0.372,0.372,NEUTRAL
1455,Demonetisation one month: Gains of PM Modi’s currency crackdown will be known only in the … https://t.co/OWaGEKIcjU https://t.co/jF4OrKE0jv,2,12/9/2016,14,0.34,0.876,0,0.124,POSITIVE
1456,"RT @PMOIndia: Farmers are misled that Modi will tax you. I assure my farmer sisters and brothers, no one will tax you. This nation belongs…",2,12/9/2016,14,0.0516,0.827,0.083,0.09,POSITIVE
1457,"RT @naveed360: 31 years ago today, a body called #SAARC was created with no real goals. It was strangulated to death by #India’s leader #Mo…",2,12/9/2016,14,-0.6249,0.722,0.21,0.069,NEGATIVE
1458,"Does denying PM Modi TIMES person of d year makes him less participative, its all rubbish.",2,12/9/2016,14,-0.34,0.854,0.146,0,NEGATIVE
1459,"RT @abpnewshindi: मोदी सरकार की बंपर छूट पॉलिसी, यहां पढ़ें किसको कितना फायदा?
https://t.co/ad5XWxKNGx https://t.co/DdtUXOjwAB",2,12/9/2016,14,0,1,0,0,NEUTRAL
1460,Before 8th nov-modi ji wt hv u done for black money&lt;&gt;After 8th nov-why hv u done for black money   #अगर_कांग्रेस_ना_होती,2,12/9/2016,14,0,1,0,0,NEUTRAL
1461,"RT @KejriwalFCIndia: Must Watch &amp; Share : First conclusive proof of Corruption &amp; Black Money against PM Modi

#WelcomeBackMufflerMan 

 htt…",2,12/9/2016,14,0.296,0.891,0,0.109,POSITIVE
1462,"https://t.co/PGZ0FFmhsP
#BiggestHitLionHeart",2,12/9/2016,15,0,1,0,0,NEUTRAL
1463,"I'll tell everyone how Paytm is Pay to Modi, says Rahul Gandhi as united opposition stage black day of note ban
https://t.co/LucEd494U2",2,12/9/2016,15,-0.296,0.709,0.187,0.104,NEGATIVE
1464,This is a pretty fascinating behind-the-scenes @ReutersIndia piece on #demonetisation https://t.co/oifGi6Z5Pl,2,12/9/2016,15,0.7717,0.544,0,0.456,POSITIVE
1465,@narendramodi  Very good modi ji. Also please ask all small and medium hospitals/ Doctors/medical shops too have cash machines.,2,12/9/2016,15,0.6697,0.756,0,0.244,POSITIVE
1466,Time Magazine is totally FAKE. It take dicsion person of year Donald trump Place of Prime Minister Narendra Modi ji..,2,12/9/2016,15,-0.6281,0.822,0.178,0,NEGATIVE
1467,"#IndiaDefeatsBlackMoney #tripletalaq trending together

#talaq leads to #BlackMoney?",2,12/9/2016,15,0,1,0,0,NEUTRAL
1468,"manoniyo pm modi ji mei aek sadharon ladka hu ,or meira jeisa koi ladka hei kuch kam nahi bekar hei hamari assam mei atcha kuch kam nahi",2,12/9/2016,15,0,1,0,0,NEUTRAL
1469,"Justice for pregnant stray dog beaten, blinded and hung from a tree in Mohali! Plz sign: https://t.co/2Hzc6r79AA https://t.co/IMqj3GICOF",2,12/9/2016,15,0.2942,0.642,0.128,0.229,POSITIVE
1470,"RT @NamoApp: India’s first railway university to come up in Vadodara: Narendra Modi
 https://t.co/6rcOpAjjiZ … https://t.co/JC5pgbMVXl",2,12/9/2016,15,0,1,0,0,NEUTRAL
1471,"Justice for pregnant stray dog beaten, blinded and hung from a tree in Mohali! Plz sign: https://t.co/cS8AetqBc8 https://t.co/52pLLsPV3E",2,12/9/2016,15,0.2942,0.642,0.128,0.229,POSITIVE
1472,CHE FLOP IL PIANO DEL PRESIDENTE INDIANO MODI DI SOSPENDERE I TAGLI DI BANCONOTE PIÙ GRANDI https://t.co/WnSge5GxZd,2,12/9/2016,15,-0.4824,0.827,0.173,0,NEGATIVE
1473,"RT @Ateendriyo: So, that's a confession? :) https://t.co/oFEtlltVZB",2,12/9/2016,15,0.5046,0.648,0,0.352,POSITIVE
1474,RT @LoksattaLive: सत्तेतील सन्मानासाठी शिवसेनेची धडपड! https://t.co/4q209a1One,2,12/9/2016,15,0,1,0,0,NEUTRAL
1475,"RT @ANI_news: I salute the people of India for wholeheartedly participating in this ongoing Yagna against corruption, terrorism &amp; black mon…",2,12/9/2016,15,-0.6808,0.805,0.195,0,NEGATIVE
1476,All responsibility and liability goes to modi. What right he has to refuse to give our money. It's blatant loot of… https://t.co/MIwQejyzUN,2,12/9/2016,15,-0.4588,0.833,0.167,0,NEGATIVE
1477,"@sureshpprabhu 1 lts petrol = 69 ₹ avg.I take 100 lts ,i.e 6900₹, l pay by card so i l get discount of 51 rs 😂😂yay #IndiaDefeatsBlackMoney",2,12/9/2016,15,0.5859,0.742,0.055,0.203,POSITIVE
1478,"RT @Kandy261: Important info. Pls share it as much as u can.
#IndiaDefeatsBlackMoney https://t.co/OnA97b0hIU",2,12/9/2016,15,0.5106,0.654,0,0.346,POSITIVE
1479,Modi asked his pple to Expose the https://t.co/5a7lTEZlD3 in action.The change can B seen in some channels,2,12/9/2016,15,-0.1531,0.904,0.096,0,NEGATIVE
1480,Modi asked his pple to Expose the https://t.co/vPXKvj2u9G in action.The change can B seen in some channels,2,12/9/2016,15,-0.1531,0.904,0.096,0,NEGATIVE
1481,"RT @national_baluch: Indian Prime Minister Narendra Modi to support independence for Balochistan 
 
Nehru not support for Balochistan Ne… ",2,12/9/2016,15,0.6597,0.748,0,0.252,POSITIVE
1482,"2. Indian Government's Grand #Demonitization plan - in 1 simple picture.
@sanjayuvacha https://t.co/W8DR1J0cGS",2,12/9/2016,15,0.4588,0.769,0,0.231,POSITIVE
1483,News Update:' Who knew? Modi's black money move kept a closely guarded secret https://t.co/425PfKH3AE,2,12/9/2016,15,0,1,0,0,NEUTRAL
1484,RT @paanchajanyaa: @jn_mec so did modi at tvm it was only the italian son in law who had trouble with it @Sathyaghan @RahulEaswar @dasyavev…,2,12/9/2016,16,-0.4019,0.895,0.105,0,NEGATIVE
1485,"विमुद्रीकरण: चाय वाला हुआ डिजिटल, ई-वॉलेट और स्वाइप मशीन को अपनाया
https://t.co/inpPiDcBtF

via NMApp https://t.co/yryrUaG8ml",2,12/9/2016,16,0,1,0,0,NEUTRAL
1486,"@abpmajhatv @abpnewshindi @OfficeOfRG @ArvindKejriwal 
नफा, नुक्सान, छुट, फायदा धंदा चला रहे क्या देश को अभीभी क्या… https://t.co/kjxZUW7UhA",2,12/9/2016,16,0,1,0,0,NEUTRAL
1487,Modi g https://t.co/2YRb5e10MK,2,12/9/2016,16,0,1,0,0,NEUTRAL
1488,Indian Prime Minister Narendra Modi wins reader's poll for TIME's 'Pe https://t.co/QTGnh1zI8k Person of the Year #PresidentElectTrump #MAGA,2,12/9/2016,16,0.5719,0.821,0,0.179,POSITIVE
1489,Narendra Modi and his cron jobs are the best things on twitter.,2,12/9/2016,16,0.6369,0.724,0,0.276,POSITIVE
